KodiUnik,koment pika 2,bashkia,qarku,lat,long,sip,rastesore,Peme
24,,BELSH,ELBASAN,408061.1222,4538492.764,1763.676834,0,0
26,,BERAT,BERAT,409812.7561,4509346.827,1952.867276,0,0
27,,BERAT,BERAT,409982.421,4506808.152,1318.041344,0,0
28,,BERAT,BERAT,412478.699,4505196.779,4485.044296,1,0
106,,BULQIZË,DIBËR,433418.3263,4592050.139,7141.99265,0,1
107,,BULQIZË,DIBËR,454193.7197,4587722.17,228.5855922,0,0
108,,BULQIZË,DIBËR,434674.7262,4586356.365,2316.856214,0,0
111,,CËRRIK,ELBASAN,414985.9175,4543031.146,4072.839497,0,0
112,,CËRRIK,ELBASAN,414925.8256,4536835.243,2413.20151,0,0
115,,CËRRIK,ELBASAN,411471.3489,4538160.186,943.2042349,1,0
114,,CËRRIK,ELBASAN,414994.7741,4534657.713,951.675895,0,0
113,,CËRRIK,ELBASAN,413363.0207,4529857.437,1346.583656,0,0
1008,,DELVINË,VLORË,416913.5674,4423894.857,56303.97144,0,0
200008,,DELVINË,VLORË,421010.1861,4422204.085,10321.77473,0,0
6,,DEVOLL,KORÇË,498759.1676,4498185.119,5613.072153,1,0
7,,DEVOLL,KORÇË,494271.3188,4484057.367,2498.892098,1,1
8,,DEVOLL,KORÇË,493107.6495,4498556.449,212.8146555,0,0
99,,DIBËR,DIBËR,456668.4218,4604715.898,3235.764551,0,0
100,,DIBËR,DIBËR,452471.07,4613821.535,8099.126865,0,1
101,,DIBËR,DIBËR,443379.0794,4612824.531,146.2299851,1,1
102,venddepozitimi ndodhet ne zonen e mbrojtur Korab-Koritnik Rezerve Natyrore e Menaxhuar,DIBËR,DIBËR,457926.0561,4614949.823,136.3663177,1,1
103,,DIBËR,DIBËR,448240.8527,4620092.422,559.9662625,0,1
104,,DIBËR,DIBËR,449009.7155,4617322.668,162.5556237,1,0
58,venddepozitimi ndodhet ne zonen e mbrojtur Divjake-Karavasta Park Kombetar,DIVJAKË,FIER,376856.9496,4529199.777,3406.237651,0,0
59,,DIVJAKË,FIER,382071.3318,4527595.518,2980.353153,0,0
60,,DIVJAKË,FIER,382881.526,4543397.601,3727.457061,0,0
61,,DIVJAKË,FIER,381480.7882,4534077.124,1604.677436,0,0
200013,venddepozitimi ndodhet ne zonen e mbrojtur Divjake-Karavasta Park Kombetar,DIVJAKË,FIER,375483.0431,4542637.554,8710.210111,0,0
2,,DROPULL,GJIROKASTËR,437887.0295,4423240.133,750.853501,0,0
95,,DURRËS,DURRËS,369903.5521,4581220.905,76887.52769,0,0
96,,DURRËS,DURRËS,379170.6202,4585129.92,23942.7936,0,0
97,,DURRËS,DURRËS,382621.7532,4588898.169,4028.659643,0,0
98,,DURRËS,DURRËS,377902.3821,4599762.72,1693.147868,1,0
200015,,DURRËS,DURRËS,379627.325,4595909.033,1732.972538,0,1
100001,,ELBASAN,ELBASAN,422549.12,4549531.177,4411.45155,0,0
100002,,ELBASAN,ELBASAN,415569.4862,4544764.16,2342.0113,1,0
100003,,ELBASAN,ELBASAN,414930.1569,4547778.94,1826.0186,1,0
100004,,ELBASAN,ELBASAN,418493.3914,4551205.512,29379.72411,0,0
100005,,ELBASAN,ELBASAN,419690.2631,4554451.124,322.9898498,1,0
200003,,ELBASAN,ELBASAN,423955.2344,4550530.075,35668.01364,0,0
51,,FIER,FIER,379638.2956,4511308.428,54654.23584,0,0
210002,,FIER,FIER,363019.0156,4508976.535,357.3721476,0,1
210003,,FIER,FIER,363186.3788,4514416.867,1193.818589,0,0
210005,,FIER,FIER,373969.3028,4508640.748,1058.791981,0,0
1009,,FUSHË ARRËS,SHKODËR,417481.5551,4656743.954,2565.838012,0,1
1,,GJIROKASTËR,GJIROKASTËR,425546.2208,4437724.982,5751.800147,0,0
25,,GRAMSH,ELBASAN,432381.1544,4520903.633,14269.33288,0,1
200010,,GRAMSH,ELBASAN,431069.6678,4525573.685,8164.517167,0,0
87,,HAS,KUKËS,449324.1252,4671359.663,11669.40013,0,1
162,,HIMARË,VLORË,390783.4086,4443776.543,2784.235187,0,1
200020,,HIMARË,VLORË,406873.5553,4428360.615,1001.878449,0,0
210009,,HIMARË,VLORË,408046.6339,4426224.599,407.8816001,0,0
210010,,HIMARË,VLORË,409977.8847,4425637.801,945.5071643,0,0
210011,,HIMARË,VLORË,406308.6223,4429528.11,1011.079698,0,1
200005,,KAMËZ,TIRANË,395805.7243,4584226.305,21856.88195,0,0
1803,,KAMËZ,TIRANË,395303.6205,4581075.05,365.6717726,0,0
210007,,KAVAJË,TIRANË,373139.5008,4554464.894,666.7292077,0,0
200018,,KAVAJË,TIRANË,377570.9905,4552366.293,11483.88137,0,0
140,,KAVAJË,TIRANË,381079.0675,4556971.529,106.7657329,0,0
5,,KËLCYRË,GJIROKASTËR,433824.5169,4461157.889,2380.02261,0,0
105,,KLOS,DIBËR,427692.414,4599417.076,871.1789657,1,0
9,,KOLONJË,KORÇË,471667.5797,4465546.422,4227.200355,0,1
